序号,原名称,核实后名称,装机容量MW,省,市,区,详细地址,电场名称线索文本,电场名称线索参考地址,装机容量线索文本,装机容量线索参考地址,确信度,搜索状态
16,弥勒西风电场,三峡弥勒西风电场,550,云南省,红河州,弥勒市,,三峡能源云南弥勒西风电场,https://www.sohu.com/a/663382166_115239,550MW,https://www.sohu.com/a/663382166_115239,高,已完成
17,大海梁子（含二期）,会泽大海梁子风电场,48,云南省,曲靖市,会泽县,,大海梁子风电场,https://wind.in-en.com/html/wind-2317325.shtml,48MW,https://wind.in-en.com/html/wind-2317325.shtml,高,已完成
18,大海梁子风电（金钟2期）,,,云南省,曲靖市,会泽县,,待核实,,,中,待核实
19,待补风电,,,云南省,曲靖市,会泽县,,待核实,,,中,待核实
20,弥勒东风电,,,云南省,红河州,弥勒市,,待核实,,,中,待核实
21,待补风电,会泽待补风电场,189+182.3,云南省,曲靖市,会泽县,驾车乡、田坝乡,会泽待补风电场一期189MW+二期182.3MW,https://wind.in-en.com/html/wind-2408712.shtml,189MW+182.3MW,https://wind.in-en.com/html/wind-2408712.shtml,高,已完成
22,弥勒东风电,永宁风电场（弥勒片区）,23,云南省,红河州,弥勒市,东山镇,永宁风电项目南片区弥勒东风电场,https://www.163.com/dy/article/IE8KSJ5A055629B9.html,23MW（扩建）,https://so.html5.qq.com/page/real/search_news?docid=70000021_2886898646f17452,高,已完成
23,他期口,,,云南省,,,,,低,待核实
24,仓房,会泽仓房风电场,48,云南省,曲靖市,会泽县,驾车乡大水村,会泽仓房风电场48MW,https://news.bjx.com.cn/html/20230222/1290232.shtml,48MW,https://news.bjx.com.cn/html/20230222/1290232.shtml,高,已完成
25,保顶山,姚安保顶山风电场,,云南省,楚雄州,姚安县,保顶山,姚安保顶山风电场220kV升压站,https://www.bidcenter.com.cn/newscontent-74935937-4.html,,,高,已完成
26,光梁子,富源光梁子风电场,48,云南省,曲靖市,富源县,后所镇,富源光梁子风电场,http://newenergy.in-en.com/html/newenergy-2286867.shtml,48MW,http://newenergy.in-en.com/html/newenergy-2286867.shtml,高,已完成
27,凤屯,牟定凤屯风电场,49.5,云南省,楚雄州,牟定县,凤屯乡,中广核牟定凤屯风电场,https://www.bidcenter.com.cn/newscontent-7262225-1.html,49.5MW,https://www.bidcenter.com.cn/newscontent-7262225-1.html,高,已完成
28,卓干山,禄劝卓干山风电场,36,云南省,昆明市,禄劝县,团街镇,禄劝卓干山风电场36MW,https://news.bjx.com.cn/html/20150715/642301.shtml,36MW,https://news.bjx.com.cn/html/20150715/642301.shtml,高,已完成
29,南庄,,,云南省,,,,"搜索结果为南庄光伏电站（300MW），非风电场",,,低,待核实
30,卢金山,,,云南省,,,,,未找到明确信息,中,待核实
31,卫泸,永宁风电场（卫泸升压站）,,云南省,红河州,弥勒市,,卫泸升压站,http://www.qianlima.com/gjxx/381333/index_29_2.html,,,高,已完成
32,双龙,石林双龙箐风电场,49.5,云南省,昆明市,石林县,,石林双龙箐风电场,http://news.bjx.com.cn/html/20130116/413820.shtml,49.5MW,http://news.bjx.com.cn/html/20130116/413820.shtml,高,已完成
33,向阳山,新平向阳山风电场,49.5,云南省,玉溪市,新平县,建兴乡,新平县向阳山风电场,https://news.bjx.com.cn/html/20140822/539329.shtml,49.5MW,https://news.bjx.com.cn/html/20140822/539329.shtml,高,已完成
34,哈科迪梁子风电场,新平哈科迪梁子风电场,49.5,云南省,玉溪市,新平县,新化乡,新平哈科迪梁子风电场,https://news.bjx.com.cn/html/20170616/831621.shtml,49.5MW,https://news.bjx.com.cn/html/20170616/831621.shtml,高,已完成
35,回龙梁子,会泽回龙梁子升压站,（升压站名，非独立风电场）,云南省,曲靖市,会泽县,,回龙梁子升压站,https://www.sohu.com/a/755508424_121613636,,,中,已完成
36,基洛山,弥勒基洛山升压站,,云南省,红河州,弥勒市,,基洛山升压站为弥勒西风电场配套设施,https://www.hh.gov.cn/info/11621/702502.htm,,,高,已完成
37,塔甸,峨山塔甸风电场,50MW,云南省,玉溪市,峨山县,塔甸镇,峨山县塔甸风电场,https://wind.in-en.com/html/wind-2286867.shtml,50MW,https://wind.in-en.com/html/wind-2286867.shtml,高,已完成
38,大中山,大姚大中山风电场,49.5,云南省,楚雄州,大姚县,,大中山风电场,https://www.163.com/dy/article/JBC3BD2Q0514C30V.html,49.5MW,https://www.163.com/dy/article/JBC3BD2Q0514C30V.html,高,已完成
39,大坪子,永善大坪子风电场,49.5,云南省,昭通市,永善县,伍寨乡,永善大坪子风电场,https://news.bjx.com.cn/html/20141124/567127.shtml,49.5MW,https://news.bjx.com.cn/html/20141124/567127.shtml,高,已完成
40,大牛（含二期）,石屏大牛风电场,48+35,云南省,红河州,石屏县,牛街镇,石屏大牛风电场,https://newenergy.in-en.com/html/newenergy-2241288.shtml,48MW+二期35MW,https://newenergy.in-en.com/html/newenergy-2241288.shtml,高,已完成
41,大田,,,贵州省,,,,"搜索结果为贵州金沙大田风电场，非云南",,,低,待核实
42,大绿山（含文兴北区）,中广核宣威大绿山风电场,,云南省,曲靖市,宣威市,宝山镇,中广核宣威大绿山风电场,https://www.xw.gov.cn/news/detail/54/33157.html,,,高,已完成
43,大莫古（含扩建）,陆良大莫古风电场,49.5,云南省,曲靖市,陆良县,大莫古镇,陆良大莫古风电场,https://m.bjx.com.cn/mnews/20121011/393615.shtml,49.5MW,https://m.bjx.com.cn/mnews/20121011/393615.shtml,高,已完成
44,老尖山（含扩建）,大姚老尖山风电场,49.5+75,云南省,楚雄州,大姚县,,大姚老尖山风电场,https://www.sohu.com/a/1004000521_115377,49.5MW+扩建75MW,https://www.sohu.com/a/1004000521_115377,高,已完成
45,大风丫口,富民大风丫口风电场,49.5,云南省,昆明市,富民县,永定镇/团结街道,大风丫口风电场,https://m.bjx.com.cn/mnews/20130409/427406.shtml,49.5MW（与马英山共用升压站）,https://m.bjx.com.cn/mnews/20130409/427406.shtml,高,已完成
46,马英山,富民马英山风电场,40.5,云南省,昆明市,富民县/西山区,,马英山风电场,https://m.bjx.com.cn/mnews/20130409/427406.shtml,40.5MW,https://m.bjx.com.cn/mnews/20130409/427406.shtml,高,已完成
47,金铜盆,富民金铜盆风电场,38,云南省,昆明市,富民县,,金铜盆风电场,https://m.bjx.com.cn/mnews/20130409/427406.shtml,38MW,https://m.bjx.com.cn/mnews/20130409/427406.shtml,高,已完成
48,卓干山（含二期）,富民卓干山风电场,,云南省,昆明市,富民县,,卓干山风电场,https://news.bjx.com.cn/html/20150715/642301.shtml,,,高,已完成
49,将军山,华宁将军山风电场,49.5,云南省,玉溪市,华宁县,,将军山风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,49.5MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,高,已完成
50,磨豆山,华宁磨豆山风电场,49.5,云南省,玉溪市,华宁县,,磨豆山风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,49.5MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,高,已完成
51,大丫口,华宁大丫口风电场,49.5,云南省,玉溪市,华宁县,,大丫口风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,49.5MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,高,已完成
52,李子箐,待核实,,云南省,,,,,未找到明确信息,中,待核实
53,龙潭,陆良龙潭风电场,49.5,云南省,曲靖市,陆良县,,龙潭风电场,https://ynb.nea.gov.cn/dtyw/zcgz/202309/t20230911_35099.html,49.5MW,https://ynb.nea.gov.cn/dtyw/zcgz/202309/t20230911_35099.html,高,已完成
54,马塘,陆良马塘风电场,49.5,云南省,曲靖市,陆良县,,马塘风电场,https://ynb.nea.gov.cn/dtyw/zcgz/202309/t20230911_35099.html,49.5MW,https://ynb.nea.gov.cn/dtyw/zcgz/202309/t20230911_35099.html,高,已完成
55,罗平山（含改造）,洱源罗平山风电场,48.75+115.5,云南省,大理州,洱源县,乔后/炼铁/凤羽/茈碧,罗平山风电场,https://news.bjx.com.cn/topics/luopingshanfengdianchang/,48.75MW+改造115.5MW,https://www.sohu.com/a/1000105893_120444679,高,已完成
56,野牛风电场,东川野牛风电场,48+48,云南省,昆明市,东川区,铜都街道/野牛村,东川野牛风电场,https://news.bjx.com.cn/html/20210331/1145011.shtml,48MW+48MW,https://news.bjx.com.cn/html/20210331/1145011.shtml,高,已完成
57,野牛（含二期）,"东川野牛风电场（一+二期）",96,云南省,昆明市,东川区,铜都街道,东川野牛风电场,https://news.bjx.com.cn/html/20210331/1145011.shtml,96MW,https://news.bjx.com.cn/html/20210331/1145011.shtml,高,已完成
58,杨梅山,陆良杨梅山风电场,49.5,云南省,曲靖市,陆良县,板桥镇,陆良杨梅山风电场,https://wind.in-en.com/html/wind-2343799.shtml,49.5MW,https://wind.in-en.com/html/wind-2343799.shtml,高,已完成
59,恩兆山,洱源恩兆山风电场,,云南省,大理州,洱源县,,恩兆山风电场与罗平山相邻,https://news.bjx.com.cn/html/20080219/106857.shtml,,,高,已完成
60,骑龙山,洱源骑龙山风电场,126,云南省,大理州,洱源县,,洱源骑龙山风电场,https://news.bjx.com.cn/html/20210331/1145011.shtml,126MW,https://news.bjx.com.cn/html/20210331/1145011.shtml,高,已完成
61,通泉（含扩建）,马龙通泉风电场,350,云南省,曲靖市,马龙区,,通泉风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_05260d6a68948152,350MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_05260d6a68948152,高,已完成
62,白泥井,会泽白泥井风电场,32,云南省,曲靖市,会泽县,驾车乡,白泥井风电场,https://wind.in-en.com/html/wind-2293875.shtml,32MW,https://wind.in-en.com/html/wind-2293875.shtml,高,已完成
63,清水海,寻甸清水海风电场,49.5,云南省,昆明市,寻甸县,六哨乡,清水海风电场,https://news.bjx.com.cn/topics/qingshuihaifengdianchang/,49.5MW,https://news.bjx.com.cn/topics/qingshuihaifengdianchang/,高,已完成
64,大海子,寻甸大海子风电场,49.5,云南省,昆明市,寻甸县,,大海子风电场（清水海风电场一片区）,https://www.bidcenter.com.cn/newscontent-7565125-1.html,49.5MW,https://www.bidcenter.com.cn/newscontent-7565125-1.html,高,已完成
65,海洋哨,寻甸海洋哨风电场,49.5,云南省,昆明市,寻甸县,,海洋哨风电场（清水海一片区）,https://www.bidcenter.com.cn/newscontent-7565125-1.html,49.5MW,https://www.bidcenter.com.cn/newscontent-7565125-1.html,高,已完成
66,横河,寻甸横河风电场,49.5,云南省,昆明市,寻甸县,,横河风电场（清水海一片区）,https://www.bidcenter.com.cn/newscontent-7565125-1.html,49.5MW,https://www.bidcenter.com.cn/newscontent-7565125-1.html,高,已完成
67,洒谷,巧家洒谷风电场,49.5,云南省,昭通市,巧家县,,洒谷风电场,https://www.zbytb.com/s-zb-52060886.html,49.5MW,https://www.zbytb.com/s-zb-52060886.html,高,已完成
68,新厂沟,巧家新厂沟风电场,49.5,云南省,昭通市,巧家县,,新厂沟风电场,https://www.zbytb.com/s-zb-52060886.html,49.5MW,https://www.zbytb.com/s-zb-52060886.html,高,已完成
69,海坝,巧家海坝风电场,49.5,云南省,昭通市,巧家县,,海坝风电场,https://www.zbytb.com/s-zb-52060886.html,49.5MW,https://www.zbytb.com/s-zb-52060886.html,高,已完成
70,猴子山,个旧猴子山风电场,200,云南省,红河州,个旧市,,猴子山风电场,https://wind.imarine.cn/news/32552.html,200MW,https://wind.imarine.cn/news/32552.html,高,已完成
71,大龙山,文山大龙山风电场/华宁大龙山风电场,24.3/56.25,云南省,文山州/玉溪市,丘北县/华宁县,,大龙山风电场,https://newenergy.in-en.com/html/newenergy-2451276.shtml,24.3MW（丘北）+56.25MW（华宁）,,高,已完成
72,长田,昌宁长田风电场,43.75,云南省,保山市,昌宁县,温泉镇/漭水镇,长田风电场,https://www.163.com/dy/article/JQCC8D9J0512C38J.html,43.75MW,https://www.163.com/dy/article/JQCC8D9J0512C38J.html,高,已完成
73,中寨,昌宁中寨风电场,37.5,云南省,保山市,昌宁县,温泉镇/田园镇,中寨风电场,https://finance.sina.com.cn/stock/aigc/tzxm/2026-04-08/doc-inhtuupu2724376.shtml,37.5MW,https://finance.sina.com.cn/stock/aigc/tzxm/2026-04-08/doc-inhtuupu2724376.shtml,高,已完成
74,富源西（含四期）,富源西风电场,800,云南省,曲靖市,富源县,中安街道/墨红镇,富源西风电场（国家电投）,https://www.sohu.com/a/674611212_121123698,800MW+四期147.4MW,https://www.sohu.com/a/674611212_121123698,高,已完成
75,西泽,宣威西泽风电场,210,云南省,曲靖市,宣威市,务德镇/西泽乡/热水镇,宣威西泽风电场,https://www.sohu.com/a/749738719_121613636,210MW,https://www.sohu.com/a/749738719_121613636,高,已完成
76,巨龙梁,寻甸巨龙梁风电场,100,云南省,昆明市,寻甸县,金源乡/倘甸镇,巨龙梁风电场,https://zhuanlan.zhihu.com/p/599762000,100MW,https://zhuanlan.zhihu.com/p/599762000,高,已完成
77,高本山,寻甸高本山风电场,49.5,云南省,昆明市,寻甸县,,高本山风电场（与巨龙梁共用升压站）,https://www.docin.com/p-2042858485.html,49.5MW,https://www.docin.com/p-2042858485.html,高,已完成
78,文兴,宣威文兴风电场,480,云南省,曲靖市,宣威市,,文兴风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_71360370d4791452,480MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_71360370d4791452,高,已完成
79,金钟,会泽金钟风电场,470,云南省,曲靖市,会泽县,,金钟风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_3525fd4ce7c48952,470MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_3525fd4ce7c48952,高,已完成
80,丹凤,曲靖丹凤风电场,300,云南省,曲靖市,麒麟区,,丹凤风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_3525fd4ce7c48952,300MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_3525fd4ce7c48952,高,已完成
81,平坝（含三期）,文山平坝风电场,200,云南省,文山州,文山市,平坝镇/新街乡等,平坝风电场,https://wenshan.yunnan.cn/system/2024/12/27/033349416.shtml,200MW,https://wenshan.yunnan.cn/system/2024/12/27/033349416.shtml,高,已完成
82,舍得（赶马路）,丘北舍得风电场,49.5,云南省,文山州,丘北县,舍得乡,丘北舍得风电场（赶马路片区）,https://news.bjx.com.cn/html/20130917/460323.shtml,49.5MW,https://news.bjx.com.cn/html/20130917/460323.shtml,高,已完成
83,羊雄山,丘北羊雄山风电场,99,云南省,文山州,丘北县,舍得乡,羊雄山风电场,https://news.bjx.com.cn/html/20130917/460323.shtml,99MW,https://news.bjx.com.cn/html/20130917/460323.shtml,高,已完成
84,火特,华宁火特风电场,100,云南省,玉溪市,华宁县,通红甸乡,火特风电场,https://wind.in-en.com/html/wind-2434593.shtml,100MW,https://wind.in-en.com/html/wind-2434593.shtml,高,已完成
85,起则,华宁起则风电场,100,云南省,玉溪市,华宁县,,起则风电场,https://www.yn.gov.cn/ztgg/zxylcyfzqy/zdxmjsp/sgybxmpf/202205/t20220501_241636.html,100MW,https://www.yn.gov.cn/ztgg/zxylcyfzqy/zdxmjsp/sgybxmpf/202205/t20220501_241636.html,高,已完成
86,阿用,富宁阿用风电场,100,云南省,文山州,富宁县,板仑乡,阿用风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_1316274a41231952,100MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_1316274a41231952,高,已完成
87,蜜蜂山,丘北蜜蜂山风电场,49.5,云南省,文山州,丘北县,腻脚乡,蜜蜂山风电场,https://www.zbytb.com/s-zb-52162596.html,49.5MW,https://www.zbytb.com/s-zb-52162596.html,高,已完成
88,阿用,富宁阿用风电场,200,云南省,文山州,富宁县,归朝镇/板仑乡,富宁阿用风电场,https://finance.sina.com.cn/roll/2024-11-26/doc-incxkpaq4250971.shtml,200MW,https://finance.sina.com.cn/roll/2024-11-26/doc-incxkpaq4250971.shtml,高,已完成
89,菲古,文山菲古风电场,49.5,云南省,文山州,文山市,薄竹镇,菲古风电场,http://www.dlztb.com/news/202411/28/107597.html,49.5MW,http://www.dlztb.com/news/202411/28/107597.html,高,已完成
90,麦子箐,马关麦子箐风电场,49.5,云南省,文山州,马关县,八寨镇,马关麦子箐风电场,http://www.dlztb.com/news/202411/28/107597.html,49.5MW,http://www.dlztb.com/news/202411/28/107597.html,高,已完成
91,金龙山,丘北金龙山风电场,49.5,云南省,文山州,丘北县,八道哨乡,金龙山风电场,http://www.dlztb.com/news/202411/28/107597.html,49.5MW,http://www.dlztb.com/news/202411/28/107597.html,高,已完成
92,朵古,蒙自朵古风电场,49.5,云南省,红河州,蒙自市,西北勒乡,朵古风电场,http://news.bjx.com.cn/html/20200306/1051411.shtml,49.5MW,http://news.bjx.com.cn/html/20200306/1051411.shtml,高,已完成
93,老寨,蒙自老寨风电场,49.5,云南省,红河州,蒙自市,,老寨风电场,http://yn.people.com.cn/n2/2021/0827/c372456-34887424.html,49.5MW,http://yn.people.com.cn/n2/2021/0827/c372456-34887424.html,高,已完成
94,李子箐,泸西李子箐风电场,168,云南省,红河州,泸西县,,李子箐风电场（含四期）,https://m.bjx.com.cn/mnews/20150122/584065.shtml,168MW,https://m.bjx.com.cn/mnews/20150122/584065.shtml,高,已完成
95,牦牛坪,宁蒗牦牛坪风电场,49.5,云南省,丽江市,宁蒗县,新营盘镇/烂泥箐镇,牦牛坪风电场,http://news.bjx.com.cn/html/20200306/1051411.shtml,49.5MW,http://news.bjx.com.cn/html/20200306/1051411.shtml,高,已完成
96,弥勒东（含扩建）,永宁风电场（弥勒片区）,23+230,云南省,红河州,弥勒市,东山镇,永宁风电场弥勒片区,https://m.bjx.com.cn/mnews/20230915/1332127.shtml,23MW+扩建230MW,https://m.bjx.com.cn/mnews/20230915/1332127.shtml,高,已完成
97,老路梁子,永善老路梁子风电场,66,云南省,昭通市,永善县,伍寨乡,老路梁子风电场,https://www.163.com/dy/article/I5ES42V30534BDCQ.html,66MW,https://www.163.com/dy/article/I5ES42V30534BDCQ.html,高,已完成
98,盘江（含扩建）,沾益盘江风电场,180,云南省,曲靖市,沾益区,盘江镇/菱角乡,盘江风电场,https://finance.sina.com.cn/jjxw/2023-12-29/doc-imzzsiza3632713.shtml,180MW,https://finance.sina.com.cn/jjxw/2023-12-29/doc-imzzsiza3632713.shtml,高,已完成
99,白石头,待核实,,云南省,,,,,未找到明确信息,中,待核实
100,小井山/小箐山,姚安小箐山风电场,46,云南省,楚雄州,姚安县,,小箐山风电场,https://www.fanpusoft.com/jianzhu/gcgl/416695.html,46MW,https://www.fanpusoft.com/jianzhu/gcgl/416695.html,高,已完成
101,大赖石山（含五期）,巧家赖石山风电场,223.5,云南省,昭通市,巧家县,崇溪镇,赖石山风电场,https://www.163.com/dy/article/IUUVFALA0534BDCQ.html,223.5MW,https://www.163.com/dy/article/IUUVFALA0534BDCQ.html,高,已完成
102,大岩洞,巧家大岩洞风电场,39,云南省,昭通市,巧家县,,大岩洞风电场,https://news.bjx.com.cn/html/20120903/384926.shtml,39MW,https://news.bjx.com.cn/html/20120903/384926.shtml,高,已完成
103,三股水,巧家三股水风电场,49.5,云南省,昭通市,巧家县,,三股水风电场（与赖石山相关）,https://www.ztnews.net/article/show-335201.html,49.5MW,https://www.ztnews.net/article/show-335201.html,高,已完成
104,马桑井,寻甸马桑井风电场,49.5+5,云南省,昆明市,寻甸县,,马桑井风电场,http://yndrc.yn.gov.cn/html/2025/xiangmupifujieguo_0102/19257.html,49.5MW+扩建5MW,http://yndrc.yn.gov.cn/html/2025/xiangmupifujieguo_0102/19257.html,高,已完成
105,发白冲,石屏发白冲风电场,49.5,云南省,红河州,石屏县,,发白冲风电场,https://news.bjx.com.cn/html/20220624/1236072.shtml,49.5MW,https://news.bjx.com.cn/html/20220624/1236072.shtml,高,已完成
106,罗平西（含二期）,罗平西风电场,165,云南省,曲靖市,罗平县,阿岗镇/马街镇,罗平西风电场一期,https://wind.in-en.com/html/wind-2435539.shtml,165MW,https://wind.in-en.com/html/wind-2435539.shtml,高,已完成
107,清水郎山,寻甸清水郎山风电场,49.5,云南省,昆明市,寻甸县,,清水郎山风电场,https://news.bjx.com.cn/html/20220624/1236072.shtml,49.5MW,https://news.bjx.com.cn/html/20220624/1236072.shtml,高,已完成
108,大王岩,巧家大王岩风电场,70,云南省,昭通市,巧家县,,大王岩风电场,https://news.bjx.com.cn/html/20220624/1236072.shtml,70MW,https://news.bjx.com.cn/html/20220624/1236072.shtml,高,已完成
109,大龙口,待核实,,云南省,,,,,未找到明确信息,中,待核实
110,大丫口（含二期）,华宁大丫口风电场,49.5+49.5,云南省,玉溪市,华宁县,,大丫口风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,49.5MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,高,已完成
111,者坪山,洱源罗坪山风电场,210,云南省,大理州,洱源县,茈碧/凤羽/炼铁/乔后,罗坪山风电场,https://baike.baidu.com/item/洱源罗坪山风电场/2504513,210MW,https://baike.baidu.com/item/洱源罗坪山风电场/2504513,高,已完成
112,杨家房（含野猫山）,祥云野猫山/杨家房风电场,49.5+36,云南省,大理州,祥云县,东山彝族乡,野猫山+杨家房风电场,https://www.dowater.com/zhaobiao/2023-03-15/3532090.asp,49.5MW+36MW,https://www.dowater.com/zhaobiao/2023-03-15/3532090.asp,高,已完成
113,白鹤厂,祥云白鹤厂风电场,50,云南省,大理州,祥云县,沙龙镇,白鹤厂风电场,https://www.dowater.com/zhaobiao/2023-03-15/3532090.asp,50MW,https://www.dowater.com/zhaobiao/2023-03-15/3532090.asp,高,已完成
114,阿岗（含二期）,罗平阿岗风电场,49.5+55,云南省,曲靖市,罗平县,阿岗镇/马街镇,阿岗风电场,http://news.bjx.com.cn/html/20150715/642151.shtml,49.5MW+55MW,http://news.bjx.com.cn/html/20150715/642151.shtml,高,已完成
115,罗平西（一期）,罗平西风电场一期(阿岗片区),215,云南省,曲靖市,罗平县/麒麟区,阿岗镇/马街镇,罗平西风电场一期,https://yndrc.yn.gov.cn/html/2021/xiangmupifujieguo_1002/8280.html,215MW,https://yndrc.yn.gov.cn/html/2021/xiangmupifujieguo_1002/8280.html,高,已完成
116,九龙山,罗平九龙山风电场,165,云南省,曲靖市,罗平县,九龙街道,罗平九龙山风电场（罗平西一期）,https://www.sohu.com/a/720535908_121124362,165MW,https://www.sohu.com/a/720535908_121124362,高,已完成
117,板桥（含清水海/海洋哨）,寻甸板桥风电场,99,云南省,昆明市,寻甸县,六哨/先锋/金所乡,板桥风电场（清水海+海洋哨）,https://so.html5.qq.com/page/real/search_news?docid=70000021_944610255c849052,99MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_944610255c849052,高,已完成
118,白鹤厂（含扩建）,祥云白鹤厂风电场,49.5,云南省,大理州,祥云县,沙龙镇,白鹤厂风电场,https://news.bjx.com.cn/html/20151029/676254.shtml,49.5MW,https://news.bjx.com.cn/html/20151029/676254.shtml,高,已完成
119,东华（含扩建）,泸西东华风电场,31.5,云南省,红河州,泸西县,中枢镇/旧城镇,东华风电场,https://news.bjx.com.cn/html/20120320/349004.shtml,31.5MW,https://news.bjx.com.cn/html/20120320/349004.shtml,高,已完成
120,东山,泸西东山风电场,40.5,云南省,红河州,泸西县,,东山风电场,https://www.bidcenter.com.cn/newscontent-7426778-1.html,40.5MW,https://www.bidcenter.com.cn/newscontent-7426778-1.html,高,已完成
121,大坡顶,泸西大坡顶风电场,49.5,云南省,红河州,泸西县,,大坡顶风电场（李子箐四期）,https://m.bjx.com.cn/mnews/20150122/584065.shtml,49.5MW,https://m.bjx.com.cn/mnews/20150122/584065.shtml,高,已完成
122,丰乐,洱源丰乐风电场,49.5,云南省,大理州,洱源县,,丰乐风电场（罗平山改造升级项目）,https://news.bjx.com.cn/html/20210331/1145011.shtml,49.5MW,https://news.bjx.com.cn/html/20210331/1145011.shtml,高,已完成
