序号,原名称,核实后名称,装机容量MW,省,市,区,详细地址,电场名称线索文本,电场名称线索参考地址,装机容量线索文本,装机容量线索参考地址,确信度,搜索状态,搜索关键词,经度,纬度,地理编码结果
11,宾川光伏（新）,宾川老鹰岩光伏电站,200,云南省,大理州,宾川县,云南省大理州宾川县大营镇洪水塘村以西（总规划210MW，分四期建设）,宾川老鹰岩光伏电站,http://yn.news.cn/hot/2021-11/25/c_1310331845.htm,200MW,http://yn.news.cn/hot/2021-11/25/c_1310331845.htm,高,地理编码成功,大营镇,100.461714,25.787727,success: detail_address
12,宾川前所光伏,宾川前所农光互补光伏,80,云南省,大理州,宾川县,云南省大理州宾川县州城镇和乔甸镇之间（铁城坡）,宾川前所农光互补光伏电站,https://guangfu.bjx.com.cn/news/20231204/1347634.shtml,80MW,https://guangfu.bjx.com.cn/news/20231204/1347634.shtml,高,地理编码成功,云南省大理州宾川县州城镇和乔甸镇之间（铁城坡）,100.599044,25.682871,success: detail_address
13,宾川龙口光伏,宾川龙口光伏电站,15,云南省,大理州,宾川县,云南省大理州宾川县宾居镇何家山,宾川龙口光伏电站,https://www.sohu.com/a/699383553_120814185,15MW,https://www.sohu.com/a/699383553_120814185,高,地理编码成功,云南省大理州宾川县宾居镇何家山,100.521865,25.730421,success: detail_address
14,宾川孔新庄光伏,宾川孔新庄光伏电站,100,云南省,大理州,宾川县,云南省大理州宾川县乔甸镇与州城镇交界,宾川孔新庄光伏电站,https://guangfu.bjx.com.cn/news/20240418/1372366.shtml,100MW,https://guangfu.bjx.com.cn/news/20240418/1372366.shtml,高,地理编码成功,云南省大理州宾川县乔甸镇与州城镇交界,100.612228,25.657521,success: detail_address
15,宾川橘果厂光伏,宾川橘果厂光伏电站,50,云南省,大理州,宾川县,"位于云南省大理州宾川县州城镇前所村､乔甸镇海稍村､乔甸镇大罗村附近山坡地带,场址中心距离县城直线距离9km｡场址范围介于东经100",宾川橘果厂光伏电站,https://guangfu.bjx.com.cn/news/20240418/1372366.shtml,50MW,https://guangfu.bjx.com.cn/news/20240418/1372366.shtml,高,地理编码成功,云南省大理州宾川县宾川橘果厂光伏电站,100.574446,25.831013,success: province_city_district_name
16,宾川铁城坡光伏,宾川铁城坡光伏电站,,云南省,大理州,宾川县,云南省大理州宾川县州城镇和乔甸镇之间铁城坡,宾川铁城坡光伏电站,https://new.qq.com/rain/a/20250529A06PCO00,,,高,地理编码成功,云南省大理州宾川县州城镇和乔甸镇之间铁城坡,100.587526,25.575626,success: detail_address
17,姚安光伏,姚安弥兴光伏发电站,130,云南省,楚雄州,姚安县,弥兴镇,姚安弥兴光伏电站,http://yn.yunnan.cn/system/2023/01/16/032429215.shtml,130MW,http://yn.yunnan.cn/system/2023/01/16/032429215.shtml,高,地理编码成功,弥兴镇,101.15369,25.4064,success: detail_address
18,姚安光伏（新）,姚安马游光伏发电站,180,云南省,楚雄州,姚安县,弥兴镇/官屯镇,姚安马游光伏发电站,https://www.kesolar.com/headline/239088.html,180MW,https://www.kesolar.com/headline/239088.html,高,地理编码成功,弥兴镇/官屯镇,101.15369,25.4064,success: detail_address
19,姚安吴海光伏,姚安吴海光伏发电站,20,云南省,楚雄州,姚安县,栋川镇,姚安吴海光伏发电站,http://www.sasac.gov.cn/n2588025/n2588124/c29563800/content.html,20MW,http://www.sasac.gov.cn/n2588025/n2588124/c29563800/content.html,高,地理编码成功,栋川镇,101.23535,25.50862,success: detail_address
20,大姚光伏,大姚52.3万千瓦光伏基地,523,云南省,楚雄州,大姚县,石羊镇/新街镇,大姚光伏基地,https://new.qq.com/rain/a/20240716A07BL700,523MW,https://new.qq.com/rain/a/20240716A07BL700,高,地理编码成功,云南省楚雄州大姚县石羊镇/新街镇,101.322344,25.716597,success: province_city_district_detail
21,大姚博厚村光伏,大姚博厚村光伏电站,45,云南省,楚雄州,大姚县,三台乡,大姚博厚村光伏电站,https://www.sohu.com/a/895096075_121613636,45MW,https://www.sohu.com/a/895096075_121613636,高,地理编码成功,三台乡,101.07786,26.01204,success: detail_address
22,大姚小黑箐光伏,大姚小黑箐光伏发电站,50,云南省,楚雄州,大姚县,"云南省楚雄州云南楚雄大姚县西南部､陆林村以南的东西走向山脊地带｡项目建成投产后,每年可向电网输送约9350万千瓦时绿色电能,相当于节",大姚小黑箐光伏发电站,https://www.sohu.com/a/746960325_120815119,50MW,https://www.sohu.com/a/746960325_120815119,高,地理编码成功,云南省楚雄州大姚县大姚小黑箐光伏发电站,101.322344,25.716597,success: province_city_district_name
23,大姚坛罐窑光伏,大姚坛罐窑光伏发电站,60,云南省,楚雄州,大姚县,金碧镇,大姚坛罐窑光伏发电站,https://www.sohu.com/a/746960325_120815119,60MW,https://www.sohu.com/a/746960325_120815119,高,地理编码成功,云南省楚雄州大姚县金碧镇,101.322344,25.716597,success: province_city_district_detail
24,大姚启兴光伏,大姚启兴光伏电站,60.91,云南省,楚雄州,大姚县,赵家店镇,大姚启兴光伏电站,https://new.qq.com/rain/a/20251220A02JUQ00,60.91MW,https://new.qq.com/rain/a/20251220A02JUQ00,高,地理编码成功,赵家店镇,101.4906,25.82128,success: detail_address
25,南华陆家垭口光伏,南华陆家垭口光伏电站,15,云南省,楚雄州,南华县,一街乡/罗武庄乡,南华陆家垭口光伏电站,https://new.qq.com/rain/a/20260101A055WK00,15MW,https://new.qq.com/rain/a/20260101A055WK00,高,地理编码成功,一街乡/罗武庄乡,100.76668,25.11612,success: detail_address
26,南华罗武庄光伏,南华罗武庄光伏发电站,240,云南省,楚雄州,南华县,罗武庄乡,南华罗武庄光伏发电站,https://solar.in-en.com/html/solar-2428290.shtml,240MW,https://solar.in-en.com/html/solar-2428290.shtml,高,地理编码成功,罗武庄乡,100.76668,25.11612,success: detail_address
27,南华独田箐光伏,南华独田箐光伏发电站,90,云南省,楚雄州,南华县,云南省楚雄州南华县一街乡平掌村及田房村,南华独田箐光伏发电站,https://finance.sina.com.cn/jjxw/2024-07-05/doc-inccccrx7086614.shtml,90MW,https://finance.sina.com.cn/jjxw/2024-07-05/doc-inccccrx7086614.shtml,高,地理编码成功,云南省楚雄州南华县南华独田箐光伏发电站,101.286123,25.20878,success: province_city_district_name
28,干海子光伏,宾川干海子光伏电站,20,云南省,大理州,宾川县,宾居镇,宾川干海子光伏电站,http://www.nea.gov.cn/2015-05/05/c_134211119.htm,20MW,http://www.nea.gov.cn/2015-05/05/c_134211119.htm,高,地理编码成功,宾居镇,100.51911,25.69656,success: detail_address
29,峨山行寨光伏,峨山行寨光伏发电站,25,云南省,玉溪市,峨山县,化念镇,峨山行寨光伏发电站,https://www.kesolar.com/s/%E5%B9%B6%E7%BD%91_818.html_7.html,25MW,https://www.kesolar.com/s/%E5%B9%B6%E7%BD%91_818.html_7.html,高,地理编码成功,化念镇,102.20102,24.08225,success: detail_address
30,峨山昔古牙光伏,三峡峨山昔古牙光伏电站,300,云南省,玉溪市,峨山县,甸中镇,峨山昔古牙光伏电站,https://www.163.com/dy/article/IBBMV0MJ055633LF.html,300MW,https://www.163.com/dy/article/IBBMV0MJ055633LF.html,高,地理编码成功,甸中镇,102.22561,24.40895,success: detail_address
31,峨山白土光伏,峨山白土农光互补光伏电站,200,云南省,玉溪市,峨山县,甸中镇,峨山白土农光互补光伏电站,https://www.seetao.com/details/183542.html,200MW,https://www.seetao.com/details/183542.html,高,地理编码成功,甸中镇,102.22561,24.40895,success: detail_address
32,峨山他格莫光伏（二期）,峨山他格莫光伏电站二期,130,云南省,玉溪市,峨山县,甸中镇,他格莫光伏电站二期,https://www.seetao.com/details/183542.html,130MW,https://www.seetao.com/details/183542.html,高,地理编码成功,甸中镇,102.22561,24.40895,success: detail_address
33,易门马头村光伏,易门马头村光伏电站,230,云南省,玉溪市,易门县,十街乡/浦贝乡,易门马头村光伏电站,http://www.ym.gov.cn/ymxzfxxgk/zhxxfg/20231027/1483732.html,230MW,http://www.ym.gov.cn/ymxzfxxgk/zhxxfg/20231027/1483732.html,高,地理编码成功,十街乡/浦贝乡,102.18105,24.6154,success: detail_address
34,易门小禹石沙光伏,易门小禹石沙药光互补光伏电站,50,云南省,玉溪市,易门县,浦贝乡,易门小禹石沙药光互补光伏电站,https://guangfu.bjx.com.cn/news/20221115/1268873.shtml,约50MW,https://guangfu.bjx.com.cn/news/20221115/1268873.shtml,高,地理编码成功,浦贝乡,102.18105,24.6154,success: detail_address
35,易门张半山光伏,易门张半山光伏电站,30,云南省,玉溪市,易门县,"云南省玉溪市元江县洼垤乡罗垤村委会邑拉垤村民小组,总投资额约4亿元,总装机容量为75兆瓦,占地1049亩,配备建设220千伏升压站1",易门张半山光伏电站,https://guangfu.bjx.com.cn/news/20221115/1268873.shtml,约30MW,https://guangfu.bjx.com.cn/news/20221115/1268873.shtml,高,地理编码成功,云南省玉溪市易门县易门张半山光伏电站,102.041074,24.832955,success: province_city_district_name
36,易门朝阳光伏,易门朝阳28MW光伏电站,28,云南省,玉溪市,易门县,"云南省玉溪市易门县十街乡朝阳村东北面,装机规模为28MWp｡以1回35千伏线路接入济川变电站,送出线路长24.6千米｡项",易门朝阳28MW光伏电站,http://www.ipvei.com/earnings/projectView.action?piid=8ad680ad499db3c501499e1376b10006,28MW,http://www.ipvei.com/earnings/projectView.action?piid=8ad680ad499db3c501499e1376b10006,高,地理编码成功,云南省玉溪市易门县易门朝阳28MW光伏电站,102.1671,24.67332,success: province_city_district_name
37,易门整县分布式光伏,易门整县屋顶分布式光伏,250,云南省,玉溪市,易门县,"云南省玉溪市易门县南部十街彝族乡三元村､马头村至浦贝彝族乡谢家村一带｡昆明市-易门县,公路总里程为93 km,为高速公路｡易",易门整县分布式光伏,https://guangfu.bjx.com.cn/news/20240126/1358281.shtml,250MW,https://guangfu.bjx.com.cn/news/20240126/1358281.shtml,高,地理编码成功,云南省玉溪市易门县易门整县屋顶分布式光伏,102.16267,24.67231,success: province_city_district_name
38,禄丰小松棵光伏,禄丰小松棵光伏电站,70,云南省,楚雄州,禄丰市,碧城镇,禄丰小松棵光伏电站,https://www.163.com/dy/article/JS3CV94K0525RTGM.html,70MW,https://www.163.com/dy/article/JS3CV94K0525RTGM.html,高,地理编码成功,碧城镇,102.29995,25.30905,success: detail_address
39,禄丰桃园光伏,禄丰桃园光伏电站,220,云南省,楚雄州,禄丰市,云南省楚雄州禄丰市和平镇邓家湾村委会羊庄村、金山镇小铺子村委会,禄丰桃园光伏电站,https://guangfu.bjx.com.cn/news/20230912/1331398.shtml,220MW,https://guangfu.bjx.com.cn/news/20230912/1331398.shtml,高,地理编码成功,云南省楚雄州禄丰市和平镇邓家湾村委会羊庄村、金山镇小铺子村委会,102.137941,25.054877,success: detail_address
40,禄丰观音山光伏,禄丰观音山倒虹吸光伏电站,45,云南省,楚雄州,禄丰市,"云南省楚雄彝族自治州禄丰市,是全国首个在大型引调水主体工程管道上方建设的光伏发电项目,也是南水北调工程与云南滇中引水两大",禄丰观音山倒虹吸沿线光伏电站,https://new.qq.com/rain/a/20260102A04CXN00,45MW,https://new.qq.com/rain/a/20260102A04CXN00,高,地理编码成功,云南省楚雄州禄丰市禄丰观音山倒虹吸光伏电站,102.069519,25.145587,success: province_city_district_name
41,禄丰绵羊龙光伏,禄丰绵羊龙光伏电站,100,云南省,楚雄州,禄丰市,"位于楚雄州禄丰市碧城镇西山村和西河村附近的 山 坡上,新建光伏发电站规模为 35MW ,配套建设 1 座 35kv 的开",禄丰绵羊龙光伏电站,http://www.ynlf.gov.cn/info/3751/96551.htm,100MW,http://www.ynlf.gov.cn/info/3751/96551.htm,高,地理编码成功,云南省楚雄州禄丰市禄丰绵羊龙光伏电站,102.069519,25.145587,success: province_city_district_name
42,禄丰屋顶分布式一期,禄丰整县屋顶分布式光伏一期,22.35,云南省,楚雄州,禄丰市,仁兴/碧城/和平镇,禄丰整县屋顶分布式光伏一期,https://www.dlzb.com/d-g-199165.html,22.35MW,https://www.dlzb.com/d-g-199165.html,高,地理编码成功,仁兴/碧城/和平镇,102.283756,25.254138,success: detail_address
43,沾益德泽光伏,沾益德泽光伏发电站,120,云南省,曲靖市,沾益区,德泽乡,沾益德泽光伏发电站,https://m.bjx.com.cn/topics/guangfudianzhanbingwang/,120MW,https://m.bjx.com.cn/topics/guangfudianzhanbingwang/,高,地理编码成功,德泽乡,103.60023,25.99369,success: detail_address
44,沾益菱角光伏,沾益菱角光伏发电站,350,云南省,曲靖市,沾益区,菱角乡,沾益菱角光伏发电站,https://guangfu.bjx.com.cn/news/20240418/1372366.shtml,350MW,https://guangfu.bjx.com.cn/news/20240418/1372366.shtml,高,地理编码成功,菱角乡,103.66893,25.8818,success: detail_address
45,沾益谭家营光伏,沾益谭家营光伏发电站,450,云南省,曲靖市,沾益区,盘江镇谭家营村,沾益谭家营光伏发电站,http://www.yn.news.cn/20241214/ab49d5f8388b4245a0ebe82ce2755c0f/c.html,450MW,http://www.yn.news.cn/20241214/ab49d5f8388b4245a0ebe82ce2755c0f/c.html,高,地理编码成功,盘江镇谭家营村,103.819673,25.78284,success: detail_address
46,沾益白水工业园分布式,沾益白水工业园分布式光伏,（分布式光伏）,云南省,曲靖市,沾益区,白水镇,沾益白水工业园分布式光伏,https://www.chinanews.com.cn/aseaninfo/2026/02-13/10571808.shtml,分布式,https://www.chinanews.com.cn/aseaninfo/2026/02-13/10571808.shtml,高,地理编码成功,云南省曲靖市沾益区白水镇,104.01483,25.65521,success: province_city_district_detail
47,沾益零碳工业园BIPV,沾益零碳工业园BIPV光伏,5.66,云南省,曲靖市,沾益区,云南省曲靖市沾益区,沾益零碳工业园BIPV光伏,https://www.toutiao.com/w/1830819917148228/,5.66MW,https://www.toutiao.com/w/1830819917148228/,高,地理编码成功,云南省曲靖市沾益区,103.81982,25.60473,success: detail_address
48,会泽轿子光伏,会泽轿子光伏发电站,50,云南省,曲靖市,会泽县,五星乡/金钟街道,会泽轿子光伏发电站,https://m.bjx.com.cn/topics/guangfufadianxiangmu/,50MW,https://m.bjx.com.cn/topics/guangfufadianxiangmu/,高,地理编码成功,五星乡/金钟街道,103.259027,26.398151,success: detail_address
49,会泽披嘎光伏,会泽披嘎打厂箐光伏发电站,35,云南省,曲靖市,会泽县,五星乡/金钟街道,会泽披嘎打厂箐光伏发电站,https://finance.sina.com.cn/stock/hkstock/ggscyd/2024-12-03/doc-incyerft1575234.shtml,35MW,https://finance.sina.com.cn/stock/hkstock/ggscyd/2024-12-03/doc-incyerft1575234.shtml,高,地理编码成功,五星乡/金钟街道,103.259027,26.398151,success: detail_address
50,会泽火红马路光伏,会泽火红马路光伏发电站,150,云南省,曲靖市,会泽县,火红乡,会泽火红马路光伏发电站,https://www.kesolar.com/headline_4746,150MW,https://www.kesolar.com/headline_4746,高,地理编码成功,火红乡,103.65418,26.82507,success: detail_address
51,会泽长梁子光伏,会泽长梁子光伏发电站,125,云南省,曲靖市,会泽县,云南省曲靖市会泽县者海镇油房村委会长梁子,会泽长梁子光伏发电站,https://www.sohu.com/a/860724444_703050,125MW,https://www.sohu.com/a/860724444_703050,高,地理编码成功,云南省曲靖市会泽县者海镇油房村委会长梁子,103.689125,26.440217,success: detail_address
52,安宁工业园光伏,安宁工业园屋顶分布式光伏,200,云南省,昆明市,安宁市,草铺街道,安宁工业园屋顶分布式光伏,https://guangfu.bjx.com.cn/news/20220329/1213658.shtml,200MW,https://guangfu.bjx.com.cn/news/20220329/1213658.shtml,高,地理编码成功,草铺街道,102.416589,24.925264,success: detail_address
53,安宁昆钢基地光伏,安宁昆钢基地厂房屋面光伏,5.4,云南省,昆明市,安宁市,云南省昆明市安宁市,昆钢安宁基地厂房屋面光伏,http://www.csteelnews.com/xwzx/yjgg/202311/t20231114_81519.html,5.4MW,http://www.csteelnews.com/xwzx/yjgg/202311/t20231114_81519.html,高,地理编码成功,云南省昆明市安宁市,102.47688,24.92236,success: detail_address
54,宣威热水光伏,宣威热水光伏发电站,150,云南省,曲靖市,宣威市,热水镇,宣威热水光伏发电站,https://www.qj.gov.cn/html/2023/xqdt2_1130/263669.html,150MW,https://www.qj.gov.cn/html/2023/xqdt2_1130/263669.html,高,地理编码成功,云南省曲靖市宣威市热水镇,103.77375,26.07176,success: province_city_district_detail
55,宣威贮灰场光伏,宣威西山贮灰场光伏发电站,50,云南省,曲靖市,宣威市,云南省曲靖市宣威市,宣威西山贮灰场光伏发电站,https://finance.sina.com.cn/enterprise/central/2022-09-01/doc-imiziraw0604233.shtml,50MW,https://finance.sina.com.cn/enterprise/central/2022-09-01/doc-imiziraw0604233.shtml,高,地理编码成功,云南省曲靖市宣威市,104.1021,26.22307,success: detail_address
56,宣威海东光伏,宣威海东光伏发电站,150,云南省,曲靖市,宣威市,云南省曲靖市宣威市,宣威海东光伏发电站,https://www.toutiao.com/article/7428826545798316581/,150MW,https://www.toutiao.com/article/7428826545798316581/,高,地理编码成功,云南省曲靖市宣威市,104.1021,26.22307,success: detail_address
57,宣威龙潭光伏,宣威龙潭光伏发电站,120,云南省,曲靖市,宣威市,云南省曲靖市宣威市,宣威龙潭光伏发电站,https://www.toutiao.com/article/7428826545798316581/,120MW,https://www.toutiao.com/article/7428826545798316581/,高,地理编码成功,云南省曲靖市宣威市,104.1021,26.22307,success: detail_address
58,宣威歌乐秧草光伏,宣威歌乐秧草光伏发电站,135,云南省,曲靖市,宣威市,羊场镇,宣威歌乐秧草光伏发电站,http://www.xw.gov.cn/gov/pub/description/70666.html,135MW,http://www.xw.gov.cn/gov/pub/description/70666.html,高,地理编码成功,云南省曲靖市宣威市羊场镇,104.25008,26.00808,success: province_city_district_detail
59,宣威田坝米田光伏,宣威田坝米田光伏发电站,100,云南省,曲靖市,宣威市,云南省曲靖市宣威市,宣威田坝米田光伏发电站,https://www.163.com/dy/article/J9B6604H055620AY.html,100MW,https://www.163.com/dy/article/J9B6604H055620AY.html,高,地理编码成功,云南省曲靖市宣威市,104.1021,26.22307,success: detail_address
60,宣威海岱光伏,宣威海岱光伏发电站,100,云南省,曲靖市,宣威市,云南省曲靖市宣威市,宣威海岱光伏发电站,https://www.163.com/dy/article/J9B6604H055620AY.html,100MW,https://www.163.com/dy/article/J9B6604H055620AY.html,高,地理编码成功,云南省曲靖市宣威市,104.1021,26.22307,success: detail_address
61,富源光梁子光伏,富源光梁子光伏发电站,100,云南省,曲靖市,富源县,云南省曲靖市富源县,富源光梁子光伏发电站,https://caifuhao.eastmoney.com/news/20240125195616229369510,100MW,https://caifuhao.eastmoney.com/news/20240125195616229369510,高,地理编码成功,云南省曲靖市富源县,104.25253,25.67787,success: detail_address
62,富源中安光伏,富源中安光伏发电站,100,云南省,曲靖市,富源县,云南省曲靖市富源县,富源中安光伏发电站,https://caifuhao.eastmoney.com/news/20240125195616229369510,100MW,https://caifuhao.eastmoney.com/news/20240125195616229369510,高,地理编码成功,云南省曲靖市富源县,104.25253,25.67787,success: detail_address
63,富源胜境光伏,富源胜境光伏发电站,100,云南省,曲靖市,富源县,云南省曲靖市富源县,富源胜境光伏发电站,https://www.bidcenter.com.cn/zhaobiao/agencies_1175_530325_1/,100MW,https://www.bidcenter.com.cn/zhaobiao/agencies_1175_530325_1/,高,地理编码成功,云南省曲靖市富源县,104.25253,25.67787,success: detail_address
64,富源香花岭光伏,富源香花岭光伏发电站,100,云南省,曲靖市,富源县,云南省曲靖市富源县,富源香花岭光伏发电站,http://www.gdtzb.com/g-nzj-86537.html,100MW,http://www.gdtzb.com/g-nzj-86537.html,高,地理编码成功,云南省曲靖市富源县,104.25253,25.67787,success: detail_address
65,马龙竹园光伏,马龙竹园光伏发电站,50,云南省,曲靖市,马龙区,云南省曲靖市马龙区,马龙竹园光伏发电站,https://www.bjnews.com.cn/detail/1746438785129032.html,50MW,https://www.bjnews.com.cn/detail/1746438785129032.html,高,地理编码成功,云南省曲靖市马龙区,103.57665,25.43113,success: detail_address
66,马龙色甲光伏,马龙色甲光伏发电站,20,云南省,曲靖市,马龙区,云南省曲靖市马龙区,马龙色甲光伏发电站,https://new.qq.com/rain/a/20250703A080U000,20MW,https://new.qq.com/rain/a/20250703A080U000,高,地理编码成功,云南省曲靖市马龙区,103.57665,25.43113,success: detail_address
67,马龙新屯光伏,马龙新屯光伏发电站,30,云南省,曲靖市,马龙区,云南省曲靖市马龙区,马龙新屯光伏发电站,https://www.sohu.com/a/981273470_120988533,30MW,https://www.sohu.com/a/981273470_120988533,高,地理编码成功,云南省曲靖市马龙区,103.57665,25.43113,success: detail_address
68,东川角家村光伏,东川角家村农牧光互补光伏电站,180,云南省,昆明市,东川区,铜都街道,东川角家村农牧光互补光伏电站,https://k.sina.com.cn/article_7517400647_1c0126e4705904rcy4.html,180MW,https://k.sina.com.cn/article_7517400647_1c0126e4705904rcy4.html,高,地理编码成功,铜都街道,103.18777,26.07014,success: detail_address
69,东川毛坝子光伏,东川毛坝子光伏发电站,65,云南省,昆明市,东川区,红土地镇,东川毛坝子光伏发电站,https://mguangfu.bjx.com.cn/mnews/20250321/1433353.shtml,65MW,https://mguangfu.bjx.com.cn/mnews/20250321/1433353.shtml,高,地理编码成功,红土地镇,103.015781,26.027916,success: detail_address
70,东川生态修复光伏,东川生态修复+光伏示范项目,1.03,云南省,昆明市,东川区,四方地工业园区,东川生态修复+光伏示范项目,https://www.toutiao.com/article/6940842479738421791,1.03MW,https://www.toutiao.com/article/6940842479738421791,高,地理编码成功,四方地工业园区,103.13144,26.1722,success: detail_address
71,寻甸白龙潭光伏,寻甸白龙潭光伏发电站,495,云南省,昆明市,寻甸县,云南省昆明市寻甸县,寻甸白龙潭光伏发电站,https://newenergy.in-en.com/html/newenergy-2449905.shtml,495MW,https://newenergy.in-en.com/html/newenergy-2449905.shtml,高,地理编码成功,云南省昆明市寻甸县,103.25486,25.56118,success: detail_address
72,寻甸竹园沟光伏,寻甸竹园沟光伏发电站,300,云南省,昆明市,寻甸县,河口镇,寻甸竹园沟光伏发电站,http://www.kmxd.gov.cn/c/2024-12-05/6940629.shtml,300MW,http://www.kmxd.gov.cn/c/2024-12-05/6940629.shtml,高,地理编码成功,云南省昆明市寻甸县河口镇,103.374571,25.642557,success: province_city_district_detail
73,寻甸马路坡光伏,寻甸马路坡光伏发电站,150,云南省,昆明市,寻甸县,河口镇/金所镇,寻甸马路坡光伏发电站,http://sthjj.km.gov.cn/c/2022-05-05/4365217.shtml,150MW,http://sthjj.km.gov.cn/c/2022-05-05/4365217.shtml,高,地理编码成功,云南省昆明市寻甸县河口镇/金所镇,103.374571,25.642557,success: province_city_district_detail
74,寻甸尹武光伏,寻甸尹武光伏发电站,43,云南省,昆明市,寻甸县,云南省昆明市寻甸县,寻甸尹武光伏发电站,https://invest.km.gov.cn/c/2023-07-03/4750385.shtml,43MW,https://invest.km.gov.cn/c/2023-07-03/4750385.shtml,高,地理编码成功,云南省昆明市寻甸县,103.25486,25.56118,success: detail_address
75,寻甸60MW分布式光伏,寻甸60MW分布式光伏一期,21.36,云南省,昆明市,寻甸县,金所/羊街/仁德镇,寻甸分布式光伏一期,https://www.163.com/dy/article/HL08ULKA0553VUK3.html,21.36MW,https://www.163.com/dy/article/HL08ULKA0553VUK3.html,高,地理编码成功,金所/羊街/仁德镇,103.23735,25.63296,success: detail_address
76,嵩明凤凰山光伏,嵩明凤凰山药光互补光伏电站,200,云南省,昆明市,嵩明县,嵩阳街道,嵩明凤凰山药光互补光伏电站,https://guangfu.bjx.com.cn/news/20240425/1373669.shtml,200MW,https://guangfu.bjx.com.cn/news/20240425/1373669.shtml,高,地理编码成功,云南省昆明市嵩明县嵩阳街道,103.04004,25.33441,success: province_city_district_detail
77,嵩明阿里塘光伏,嵩明阿里塘光伏发电站,140,云南省,昆明市,嵩明县,牛栏江镇,嵩明阿里塘光伏发电站,https://guangfu.bjx.com.cn/news/20250122/1424037.shtml,140MW,https://guangfu.bjx.com.cn/news/20250122/1424037.shtml,高,地理编码成功,牛栏江镇,103.13133,25.27498,success: detail_address
78,楚雄小黑箐光伏,大姚小黑箐光伏发电站,50,云南省,楚雄州,大姚县,云南省楚雄州大姚县,大姚小黑箐光伏发电站,https://www.163.com/dy/article/HU9BQ20Q0553CT35.html,50MW,https://www.163.com/dy/article/HU9BQ20Q0553CT35.html,高,地理编码成功,云南省楚雄州大姚县,101.322344,25.716597,success: detail_address
