风电场项目名称（中文）,装机容量(MW),电站类型,经度,纬度,省份
云南华宁县起则风电场,100,陆上风电,103.0397,24.4453,云南
云南华宁磨豆山风电场,48,陆上风电,102.8931,24.3143,云南
云南南华打挂山风电场,301,陆上风电,100.8917,25.1083,云南
云南大王岩风电项目二期（董干片区85MW）,85,陆上风电,104.785,23.181,云南
云南大理九龙坡风电场,50,陆上风电,100.4292,25.5367,云南
云南大理五子坡三期清水沟风电场,50,陆上风电,100.3292,25.3701,云南
云南大理五子坡二期骑马山风电场风电场,50,陆上风电,100.3404,25.4264,云南
云南大理五子坡风电场,50,陆上风电,100.3232,25.476,云南
云南大理剑川金公山风电场,50,陆上风电,99.5426,26.4044,云南
云南大理大风坝风电场,48,陆上风电,100.2546,25.5169,云南
云南大理巨龙山风电场,50,陆上风电,100.4236,25.645,云南
云南大理斗顶山风电场,50,陆上风电,100.4158,25.5942,云南
云南大理清水朗山风电场,50,陆上风电,99.5583,25.9667,云南
云南大理清水朗山风电场二期,40,陆上风电,99.5583,25.9667,云南
云南大理者磨山风电场一期,31,陆上风电,100.1744,25.548,云南
云南大理者磨山风电场二期,15,陆上风电,100.1571,25.5582,云南
云南姚安尖山梁子风电场,50,陆上风电,101.3146,25.5456,云南
云南姚安梅家山风电场,50,陆上风电,101.3146,25.5456,云南
云南宁蒗牦牛坪风电场,50,陆上风电,100.9362,27.2283,云南
云南富民大风丫口风电场,33,陆上风电,102.4833,25.1667,云南
云南富民百花山风电场,48,陆上风电,113.5501,22.1932,云南
云南富民马英山风电场,40,陆上风电,102.425,25.2083,云南
云南寻甸德著龙风电场一期,48,陆上风电,102.8425,25.8346,云南
云南寻甸德著龙风电场三期,48,陆上风电,113.5501,22.1932,云南
云南寻甸德著龙风电场二期,48,陆上风电,113.5501,22.1932,云南
云南寻甸联合风电场,50,陆上风电,113.5501,22.1932,云南
云南寻甸联合风电场二期,50,陆上风电,113.5501,22.1932,云南
云南巧家县三股水风电场,50,陆上风电,103.209,26.9148,云南
云南巧家县洗羊塘风电场,50,陆上风电,102.0001,25.0001,云南
云南巧家大赖石山风电场,50,陆上风电,103.1294,26.9464,云南
云南巧家大赖石山风电场二期,39,陆上风电,103.1564,26.9986,云南
云南巧家新厂沟风电场,50,陆上风电,102.0001,25.0001,云南
云南巧家海坝风电场风电场,36,陆上风电,102.0001,25.0001,云南
云南市元江县羊岔街风电场,164,陆上风电,101.7889,23.6051,云南
云南师宗县石梁山风电场,40,陆上风电,103.9182,24.9361,云南
云南建水县七棵树风电场,194,陆上风电,103.0675,23.7422,云南
云南开远大黑山风电场,48,陆上风电,103.5607,23.5688,云南
云南开远左美果风电场,40,陆上风电,103.5371,23.6047,云南
云南开远阿泽风电场,57,陆上风电,103.4604,23.6408,云南
云南开远鲁土白风电场,48,陆上风电,103.5836,23.6006,云南
云南开远鲁姑母风电场,48,陆上风电,103.525,23.6815,云南
云南弥勒吉丹山风电场,48,陆上风电,103.2335,24.1188,云南
云南弥勒对门山风电场,48,陆上风电,103.1985,24.0832,云南
云南弥勒石洞山风电场,50,陆上风电,103.234,24.0747,云南
云南弥勒茨柯山风电场,48,陆上风电,103.1886,24.1406,云南
云南新平县哈科迪梁子风电场,50,陆上风电,101.825,24.1667,云南
云南施甸四大山风电场,48,陆上风电,99.2698,25.6093,云南
云南曲靖陆良大莫古风电场,50,陆上风电,103.6426,24.8892,云南
云南曲靖陆良马塘风电场,50,陆上风电,103.7753,24.9429,云南
云南曲靖陆良龙潭风电场,50,陆上风电,103.8073,24.9343,云南
云南曲靖麒麟区朗目山风电场,50,陆上风电,103.8894,25.4502,云南
云南永善大坪子风电场,50,陆上风电,102.0001,25.0001,云南
云南泸西东华风电场,32,陆上风电,103.8083,24.475,云南
云南泸西县泸西东山风电场,40,陆上风电,103.8667,24.5417,云南
云南泸西李子箐四期大坡顶风电场,50,陆上风电,103.764,24.535,云南
云南泸西李子箐风电场,50,陆上风电,103.8418,24.5171,云南
云南泸西永三风电场,48,陆上风电,103.8583,24.401,云南
云南洱源丰乐风电场,49,陆上风电,99.8514,26.0864,云南
云南洱源凤华山风电场,50,陆上风电,99.9499,26.1145,云南
云南洱源大龙潭风电场,50,陆上风电,100.1025,26.0867,云南
云南洱源干海子风电场,40,陆上风电,100.1017,26.1572,云南
云南洱源恩兆山风电场,50,陆上风电,99.9499,26.1145,云南
云南洱源罗平山风电场一期,49,陆上风电,99.8667,26.0167,云南
云南洱源观音山风电场,39,陆上风电,100.145,26.0632,云南
云南洱源马鞍山风电场,50,陆上风电,100.1083,26.1033,云南
云南洱源骑龙山风电场,49,陆上风电,99.875,25.9917,云南
云南洱源黄草坡风电场,50,陆上风电,100.1133,26.1711,云南
云南涧水塘梁子风电场项目,50,陆上风电,101.3283,25.6152,云南
云南牟定凤屯风电场,50,陆上风电,101.4222,25.2957,云南
云南牟定大尖峰风电场,50,陆上风电,101.5198,25.2021,云南
云南牟定安乐风电场,152,陆上风电,101.6974,25.555,云南
云南省楚雄州大中山风电场工程项目,40,陆上风电,101.3775,25.5856,云南
云南省楚雄州姚安县小箐山风电场,46,陆上风电,101.2626,25.6093,云南
云南省楚雄州老尖山（原木瓜山）风电场工程项目,48,陆上风电,101.4382,25.5632,云南
云南省泸西县小海子风电场项目,48,陆上风电,103.8667,24.4833,云南
云南石林支锅山风电场,50,陆上风电,103.6297,24.7632,云南
云南祥云县天峰山龙泉风电场,199,陆上风电,100.8639,25.4554,云南
云南祥云白鹤厂风电场,50,陆上风电,100.6764,25.5056,云南
云南祥云野猫山风电场,50,陆上风电,100.898,25.5916,云南
云南禄丰大荒山风电场,286,陆上风电,101.5414,25.0446,云南
云南禄丰市老青山风电场二期,50,陆上风电,102.3689,25.2689,云南
云南禄丰老青山一期,50,陆上风电,102.3424,25.3856,云南
云南蒙自朵古风电场,50,陆上风电,103.4501,23.4833,云南
云南陆良杨梅山一期资家风电场,50,陆上风电,103.8179,25.1199,云南
云南陆良杨梅山二期大路湾风电场,50,陆上风电,103.8442,25.0858,云南
云南鹤庆马厂风电场,50,陆上风电,100.1751,26.5624,云南
云南龙海古风电场,52,陆上风电,101.9625,25.9576,云南
云南龙源曲靖陆良仕官风电场42.0MW发电工程,42,陆上风电,103.7358,24.8877,云南
云龙漕涧梁子风电场,50,陆上风电,99.1017,25.5431,云南
会泽严峰山风电场,200,陆上风电,103.2579,26.4669,云南
会泽云能投新能源曲靖大海梁子风电场48.0MW发电工程,48,陆上风电,103.1301,26.2201,云南
会泽县头道坪风电场,48,陆上风电,103.2292,26.345,云南
会泽县待补风电场一期,188,陆上风电,103.3046,26.4222,云南
会泽县白泥井风电场项目,32,陆上风电,103.3204,25.9073,云南
会泽回龙梁子风电场,100,陆上风电,103.159,26.591,云南
凉风坳风电场,50,陆上风电,101.3362,25.7989,云南
华宁县将军山风电场,48,陆上风电,102.9204,24.196,云南
华能云南富源曲靖文笔山风电场40.0MW发电工程,40,陆上风电,104.3333,25.8083,云南
华能云南富源风电曲靖一把伞风电场48.0MW发电工程,48,陆上风电,104.3333,25.8083,云南
华能南华楚雄云台山风电场49.5MW发电工程,50,陆上风电,101.3122,25.3301,云南
华能南华瓦窑风电场,50,陆上风电,101.3316,25.2303,云南
华能巍山大理沙帽山风电场48.0MW发电工程,48,陆上风电,100.3879,25.2606,云南
华能昌宁风力保山松子山风电场49.5MW发电工程,50,陆上风电,99.6109,24.9599,云南
华能曲靖富源光梁子风电场,48,陆上风电,104.3724,25.9179,云南
华能洱源大理石蒲塘风电场49.5MW发电工程,50,陆上风电,100.101,26.2018,云南
协合新能源云南曲靖300MW风电项目,300,陆上风电,103.975,24.8501,云南
协合曲靖会泽仓房风电场,48,陆上风电,102.9621,26.3516,云南
卓干山风电场,36,陆上风电,102.6033,25.799,云南
国电云南新能源昆明寻甸清水海风电场49.5MW发电工程,50,陆上风电,102.9767,25.5649,云南
国电云南新能源楚雄元谋黑马井风电场项目49.5MW发电工程,50,陆上风电,101.9767,25.8225,云南
国电昆明富民龙马风电场,42,陆上风电,102.4952,25.2259,云南
国电电力云南昆明西山风摆山风电场,30,陆上风电,102.6715,25.0368,云南
国能元谋龙海古风电项目,52,陆上风电,101.8451,25.6881,云南
大唐昆明寻甸高本山风电场,49.5,陆上风电,103.244,25.582,云南
大唐普洱新能源墨江联珠风电场49.5MW发电工程,50,陆上风电,101.7103,23.555,云南
大唐玉溪新平向阳山风电场,49.5,陆上风电,101.9971,24.0751,云南
大理州扁担山风电场,48,陆上风电,100.4051,25.1982,云南
宁蒗县火木梁风电场,49.5,陆上风电,100.7613,27.3156,云南
安宁市孝母山风电场项目；云南华电安宁孝母山风电场166MW,166,陆上风电,102.2038,24.6183,云南
宜良县中营风电场,80,陆上风电,103.1346,24.9208,云南
宣威县西泽风电场,210,陆上风电,104.1073,26.2348,云南
富源北一期光梁子风电场,130,陆上风电,104.0978,25.6836,云南
富源北二期羊场风电场；宣威市富源北风电场二期项目,220,陆上风电,104.2699,25.961,云南
富源县胜境风电场,48,陆上风电,104.3333,25.8083,云南
富源西风电场一期(墨红片区),300,陆上风电,104.0978,25.6836,云南
富源西风电场三期(老红片区),400,陆上风电,104.0978,25.6836,云南
富源西风电场二期(冒天水片区),100,陆上风电,104.0978,25.6836,云南
寻甸海洋哨风电场,50,陆上风电,102.9544,25.5385,云南
开远市仙人洞坡风电场,350,陆上风电,103.1613,23.7878,云南
开远市剑角峰风电场,300,陆上风电,103.6168,23.7673,云南
弥勒西风电场,550,陆上风电,103.4019,24.1932,云南
文山州富宁县阿用风电场,200,陆上风电,105.8556,23.6522,云南
文山市平坝风电一期（平坝西片区）,104,陆上风电,103.938,23.4297,云南
文山市平坝风电三期（马关八寨片区）,100,陆上风电,103.9882,22.9867,云南
文山市平坝风电二期(平坝东片区),96,陆上风电,104.0478,23.241,云南
文笔山(锁奔多)风电场；昆明市西山区文笔山风电场（锁奔多风电场）,48,陆上风电,102.5294,25.0404,云南
施甸县风吹山风电场项目,77,陆上风电,99.2709,24.6809,云南
昆明寻甸县苏撒坡风电场,50,陆上风电,103.1589,25.7005,云南
昆明市寻甸县巨龙梁风电场,100,陆上风电,103.244,25.582,云南
昆明市寻甸县马桑井风电项目,50,陆上风电,103.1112,25.6872,云南
昭通市老路梁子风电场,66,陆上风电,103.5267,27.6034,云南
曲靖市大营盘风电场,48,陆上风电,103.9292,25.5846,云南
曲靖市株木山风电场,150,陆上风电,103.954,25.2011,云南
曲靖市沾益县大石山风电场,48,陆上风电,103.932,25.5445,云南
曲靖市麒麟区五台山风电场,40,陆上风电,103.9301,25.5556,云南
曲靖市麒麟区红石岩风电场,49.5,陆上风电,103.8136,25.3265,云南
曲靖马龙通泉风电场,350,陆上风电,103.578,25.4351,云南
楚雄州大姚县老西山100MW风电项目,100,陆上风电,101.3332,25.7244,云南
楚雄州姚安县三道箐风电场,48,陆上风电,101.3233,25.599,云南
楚雄州姚安县保顶山风电场,48,陆上风电,101.3699,25.5667,云南
武定三月山风电项目,48,陆上风电,102.0414,25.5728,云南
水电十四局大理聚能晴云山风电场49.5MW发电工程,50,陆上风电,100.3853,25.6599,云南
永宁风电场扩建项目（弥勒片区）,230,陆上风电,103.6273,24.2287,云南
永宁风电场扩建项目（泸西片区）,235,陆上风电,103.618,24.5654,云南
沾益区盘江风电场,180,陆上风电,103.837,25.7515,云南
泸西县云电投红河孔照普风电厂48.0MW发电工程,48,陆上风电,103.1119,24.211,云南
湘电中诺新能源红河石屏大牛风电场,48,陆上风电,102.442,23.4472,云南
湘电中诺红河石屏大冷山风电场,48,陆上风电,102.442,23.4472,云南
火特玉溪华宁大丫口风电场,40,陆上风电,102.9204,24.196,云南
玉溪市华宁火特风电场,100,陆上风电,102.9257,24.1905,云南
砚山黑巴风电场,38,陆上风电,104.3414,23.5984,云南
祥云县杨家房风电场,36,陆上风电,100.898,25.5916,云南
红河州个旧市猴子山风电场,200,陆上风电,103.1554,23.3633,云南
红河州永宁风电场,750,陆上风电,103.7701,24.5305,云南
红河石屏盛唐新能源尼白木克风电场49.5MW发电工程,50,陆上风电,102.3578,23.9894,云南
罗平西风电场一期阿岗片区,215,陆上风电,104.3119,24.8811,云南
罗平西风电场二期竹子山；罗平西风电场二期项目陆良(竹子山片区),212.8,陆上风电,103.6643,25.1773,云南
茅稗田风电场,40,陆上风电,101.4494,25.7275,云南
茅稗田风电场二期,100,陆上风电,101.467,25.7319,云南
通泉风电场扩建项目,131.3,陆上风电,103.578,25.4351,云南
野牛风电场,48,陆上风电,103.2917,26.0333,云南
金钟风电场一期,300,陆上风电,103.1623,26.4103,云南
金钟风电场二期,50.4,陆上风电,103.305,26.4173,云南
金铜盆风电场,38,陆上风电,102.4082,25.2851,云南
马龙县对门梁子风电场,90,陆上风电,103.4792,25.3425,云南
麻栗坡大王岩风电场(下金厂南部片区),50,陆上风电,104.785,23.181,云南
龙源石林昆明双龙箐风电场49.5MW发电工程,50,陆上风电,103.6258,24.7097,云南
万事通谯城区万通风电场项目,100,陆上风电,115.6653,33.6351,安徽
三峡新能源潘集区黑河风电项目,50,陆上风电,116.759,32.9848,安徽
三峡新能源舒城县庐镇风电场项目,21,陆上风电,116.8436,31.1276,安徽
三峡能源安徽蒙城5万千瓦风电项目,50,陆上风电,117.0001,32.0001,安徽
三峡能源安徽颍上黄坝50兆瓦风电项目,50,陆上风电,116.5061,32.6038,安徽
三峡能源阜阳南部风光储基地阜南300MW风电项目,300,陆上风电,115.615,32.658,安徽
三峡能源阜阳南部风光储基地（颍上）250MW风电项目,250,陆上风电,116.1113,32.6619,安徽
东至县香隅风电场项目,50,陆上风电,117.0893,30.0115,安徽
东至泥溪150MW风电项目,150,陆上风电,117.0208,29.989,安徽
中广核安徽东至昭潭50MW风电项目,50,陆上风电,116.833,29.6847,安徽
中广核定远县范岗乡捆绑分散式风电项目,16,陆上风电,117.7931,32.6321,安徽
休宁县马金岭50MW风电场项目,50,陆上风电,118.2793,29.4929,安徽
兴晨宿州永安风电场项目,50,陆上风电,117.1809,33.7925,安徽
利辛县泰达恒信风电场项目,50,陆上风电,115.9345,33.1554,安徽
利辛县锐风新能源汝集风电场项目,50,陆上风电,115.9697,33.2017,安徽
华润凤台县尚塘风电项目,200,陆上风电,116.4453,32.8978,安徽
华润凤阳县石门山风电场项目,31,陆上风电,117.885,32.8258,安徽
华润定远县范岗风电场项目,25,陆上风电,117.7341,32.6024,安徽
华润明光市东山风电场项目,50,陆上风电,118.1836,32.591,安徽
华润濉溪县孙疃风电场项目,50,陆上风电,116.7027,33.5936,安徽
华电福新安庆大观风电场项目,50,陆上风电,116.9128,30.5607,安徽
华电福新安徽新能源芜湖无为严桥风电场项目48.0MW发电工程,48,陆上风电,117.6622,31.3283,安徽
华电福新无为东山风电场项目,20,陆上风电,117.8008,31.4692,安徽
华电福新无为县石涧风电场项目,50,陆上风电,117.6667,31.325,安徽
华能濉溪县铁佛风电场,50,陆上风电,116.7013,33.5955,安徽
华能蒙城县板桥集风电场项目,51,陆上风电,116.6962,33.3274,安徽
华能蒙城县薛湖风电场项目,51,陆上风电,116.3306,33.3285,安徽
华能蒙城县许疃二期风电场项目,51,陆上风电,116.6958,33.4216,安徽
协合亳州谯东风电场项目,50,陆上风电,115.892,33.9,安徽
协合宿州埇桥夹沟风电场项目,48,陆上风电,117.0528,33.8832,安徽
协合肥西县莲花山风电场项目,26,陆上风电,116.8077,31.7221,安徽
协合萧县灵山风电场项目,48,陆上风电,116.8985,34.1788,安徽
协鑫凤台县港河风电场,49.8,陆上风电,116.4984,32.8725,安徽
吉电和县功桥风电场项目,50,陆上风电,118.1949,31.5718,安徽
吉电定远县界牌风电平价上网试点项目,48,陆上风电,117.8423,32.2427,安徽
吉电滁州南谯常山风电场项目,50,陆上风电,117.937,32.2372,安徽
和润涡阳牌坊风电场项目,60,陆上风电,116.1512,33.6873,安徽
国家电投怀远县常坟风电场,150,陆上风电,117.2599,33.0111,安徽
国家电投颍上绿动风电场项目,90,陆上风电,116.4018,32.6935,安徽
国电投红旗岭风电场,84,陆上风电,117.1884,30.0853,安徽
国电皖能太湖风电安庆太湖徐桥风电场46.0MW发电工程,46,陆上风电,116.4008,30.2623,安徽
国能埇桥永镇大营50兆瓦风电场项目,50,陆上风电,117.052,33.3611,安徽
国能灵璧浍沟风电场二期项目,100,陆上风电,117.5612,33.7569,安徽
国能灵璧浍沟风电场项目,70,陆上风电,117.5612,33.7569,安徽
夏尔特拉叶集区骄风风电场,100,陆上风电,115.9025,31.8542,安徽
大唐来安县张山风电场项目,48,陆上风电,118.5091,32.5723,安徽
大唐来安新能源滁州龙山风电场48.0MW发电工程,48,陆上风电,118.5764,32.5447,安徽
大唐淮南风电场工程项目,50,陆上风电,116.6162,32.7707,安徽
安徽东至木塔风电场,100,陆上风电,117.0001,32.0001,安徽
安徽五河县金大山风电场,50,陆上风电,117.0001,32.0001,安徽
安徽五河县饮马湖风电场,48,陆上风电,117.0001,32.0001,安徽
安徽全椒县石沛风电场,50,陆上风电,117.9576,32.1812,安徽
安徽全椒县西王风电场,50,陆上风电,118.1167,32.0501,安徽
安徽全椒龙王尖49.5MW风电,50,陆上风电,117.0001,32.0001,安徽
安徽凤阳曹店风电场,50,陆上风电,117.3512,32.7011,安徽
安徽利辛县中疃风电场,50,陆上风电,117.0001,32.0001,安徽
安徽南谯章广风电场,48,陆上风电,117.0001,32.0001,安徽
安徽吉电和县EPC风电场项目,50,陆上风电,117.0001,32.0001,安徽
安徽含山县梅山风电场,48,陆上风电,117.0001,32.0001,安徽
安徽固镇兴隆风电场,50,陆上风电,117.0001,32.0001,安徽
安徽固镇巨龙风电场,50,陆上风电,117.0001,32.0001,安徽
安徽天长高邮湖风电场,48,陆上风电,119.1325,32.7536,安徽
安徽定远大金山风电场,50,陆上风电,117.4794,32.6334,安徽
安徽宿州秦山风电场,33,陆上风电,117.1501,33.9917,安徽
安徽宿松新州渡风电场三期,100,陆上风电,117.0001,32.0001,安徽
安徽宿松百子洲风电场,50,陆上风电,117.0001,32.0001,安徽
安徽宿松西湖圩华港风电场,50,陆上风电,116.3831,29.9739,安徽
安徽寿县团山风电场,36,陆上风电,117.0001,32.0001,安徽
安徽岳西县牛草山风电场,50,陆上风电,117.0001,32.0001,安徽
安徽当涂县围屏风电场,45,陆上风电,118.5824,31.5921,安徽
安徽怀宁县石镜风电场项目,50,陆上风电,116.7833,30.5333,安徽
安徽怀宁龙池风电场,99,陆上风电,117.0001,32.0001,安徽
安徽无为万寨风电场,48,陆上风电,117.8428,31.4833,安徽
安徽明光大港风电场,50,陆上风电,118.3717,32.7042,安徽
安徽望江县香茗山风电场,48,陆上风电,117.0001,32.0001,安徽
安徽来安东寺港风电场,50,陆上风电,118.4982,32.7069,安徽
安徽来安县半塔风电场,50,陆上风电,117.0001,32.0001,安徽
安徽来安县舜山风电场,50,陆上风电,117.0001,32.0001,安徽
安徽来安宝山风电场,50,陆上风电,118.4318,32.674,安徽
安徽来安龙卧寺风电场,50,陆上风电,118.4963,32.6956,安徽
安徽来安龙头港风电场,50,陆上风电,118.4985,32.4675,安徽
安徽桐城市黄甲风电场,50,陆上风电,116.9604,31.3256,安徽
安徽濉溪北部风电场,26,陆上风电,116.7772,33.617,安徽
安徽濉溪南坪风电场,80,陆上风电,116.8714,33.4941,安徽
安徽濉溪县南沱河风电场,48,陆上风电,117.0001,32.0001,安徽
安徽灵璧县朝阳风电场,37,陆上风电,117.0001,32.0001,安徽
安徽灵璧平原风电场,50,陆上风电,117.6387,33.6384,安徽
安徽省宿松县九成农场风电项目,100,陆上风电,116.5459,30.079,安徽
安徽石台县小河风电场,25,陆上风电,117.0001,32.0001,安徽
安徽萧县官山风电场,48,陆上风电,118.4993,32.5747,安徽
安徽蒙城县坛城风电场,100,陆上风电,117.0001,32.0001,安徽
安徽蒙城县陈桥风电场,50,陆上风电,117.0001,32.0001,安徽
安徽蒙城小涧风电场一期,50,陆上风电,117.0001,32.0001,安徽
安徽蒙城小涧风电场二期,100,陆上风电,117.0001,32.0001,安徽
安徽蒙城许疃风电场一期,50,陆上风电,117.0001,32.0001,安徽
安徽金寨朝阳山风电场,50,陆上风电,117.0001,32.0001,安徽
安徽阜阳萁星颍泉区风电场EPC工程,99,陆上风电,115.7182,33.1399,安徽
宿州北控埇桥区聚融风电场项目,50,陆上风电,117.3281,33.7808,安徽
宿州协合埇桥符离风电场项目48.0MW发电工程,48,陆上风电,116.9829,33.8463,安徽
宿松县九成二期风电场项目,100,陆上风电,116.5459,30.079,安徽
巢湖槐林风电居巢远景巢湖观湖风电场项目49.5MW发电工程,50,陆上风电,117.6293,31.3964,安徽
巢湖观湖风电二期风电场49.5MW发电工程,50,陆上风电,117.6417,31.4251,安徽
康风涡阳县玉成风电场,100,陆上风电,116.1402,33.6763,安徽
康风涡阳县达成风电场,100,陆上风电,116.1402,33.6763,安徽
怀远县龙亢农场自发自用分散式风电项目,40,陆上风电,116.8444,33.1075,安徽
无为磊达水泥有限公司分散式风电项目,13.6,陆上风电,117.8948,31.3231,安徽
枞阳麻布山分散式风电项目,20,陆上风电,117.3555,30.7561,安徽
永康盛世谯城区亳永风电场,50,陆上风电,115.9033,33.6867,安徽
池州市乌沙镇分散式风电项目,20,陆上风电,117.3173,30.6384,安徽
涡阳县包河与武家河风电场,50,陆上风电,116.1855,33.5845,安徽
涡阳泽信涡阳县标里风电场项目,87.5,陆上风电,116.2243,33.703,安徽
滁州海发张浦郢分散式风电项目,20,陆上风电,118.3369,32.5767,安徽
滁州海发祝郢分散式风电项目,27.5,陆上风电,118.2961,32.5244,安徽
濉溪县临涣风电场,110,陆上风电,116.5592,33.6963,安徽
濉溪县鑫风风电场项目,50,陆上风电,116.8546,33.3628,安徽
灵璧县洁源灵北风电场项目,50,陆上风电,117.4814,34.0044,安徽
璧辉新能源灵璧县灵南50MW风电场项目,50,陆上风电,117.4089,33.5627,安徽
皖能新能源利辛纪王风电场,100,陆上风电,116.0367,33.3301,安徽
砀山县程庄朱楼风电场项目,50,陆上风电,116.5039,34.315,安徽
祥风涡阳县天成风电场项目,100,陆上风电,116.1944,33.4161,安徽
福能（仙游）风力莆田草山风电场36.0MW发电工程,34.5,陆上风电,118.6222,25.5217,安徽
绿金淮北濉溪县百善镇分散式风电项目,15,陆上风电,116.595,33.8021,安徽
聚合天长市杨村风电场项目,48,陆上风电,119.1487,32.745,安徽
航天闽箭新能源宁德霞浦闾峡风电场40.0MW发电工程,40,陆上风电,120.1014,26.6456,安徽
蓝奥能源烈山区分散式风电项目,15,陆上风电,116.7935,33.767,安徽
迅风定远东部50MW风电场项目,50,陆上风电,117.9332,32.6427,安徽
远景定远乘风风电场,150,陆上风电,117.2504,32.5472,安徽
道仁新能源涡阳县风电（一期）项目；涡阳县道仁新能源多能互补基地建设项目,403.2,陆上风电,116.3401,33.7478,安徽
金凤科技临泉县单桥风电场项目,150,陆上风电,115.2954,32.989,安徽
金色能源涡阳县涡北煤矿风电项目,13.2,陆上风电,116.2035,33.5489,安徽
龙源全椒滁州大山风电场项目48.3MW发电工程,48,陆上风电,118.0489,32.1357,安徽
龙源含山县昭关风电场项目,48,陆上风电,118.0357,31.7577,安徽
龙源定远滁州能仁寺风电场项目48.3MW发电工程,48,陆上风电,117.3544,32.6619,安徽
龙源宣城白马风电场项目,48,陆上风电,118.9103,31.1994,安徽
龙源宣城风力发电宣州南漪湖风电场项目49.5MW发电工程,50,陆上风电,118.8913,31.1872,安徽
龙源明光滁州鲁山风电场项目49.5MW发电工程,50,陆上风电,118.2422,32.7519,安徽
龙源来安县三湾风电项目,30,陆上风电,118.6432,32.2138,安徽
​国能大丰H5海上风电场；盐城国能大丰H5海上风电项目,206.4,海上固定式,121.375,33.5096,江苏
三峡大丰H10海上风电场,155,海上固定式,120.7683,33.212,江苏
三峡大丰H11海上风电场；三峡新能源江苏大丰H11海上风电场,300,海上固定式,120.7683,33.212,江苏
三峡大丰H8-2号海上风电场；江苏大丰300MW（H8-2）海上风电项目,300,海上固定式,121.5927,33.3225,江苏
三峡如东H10海上风电项目,400,海上固定式,121.8094,32.3452,江苏
三峡如东H6海上风电项目,400,海上固定式,121.8069,32.6639,江苏
上海电力大丰H3海上风电场；国家电投江苏大丰H3海上风电项目,302,海上固定式,121.0667,33.5083,江苏
东台四期（H2）300MW海上风电场,302,海上固定式,120.9298,32.8505,江苏
东台弶港农场风电场,86,陆上风电,120.7752,32.797,江苏
东方大唐灌南新沂河风电场(50MW)工程,50,陆上风电,119.3812,34.1574,江苏
中国水电南通如东潮间带示范风电场50MW扩建发电工程,100,海上固定式,120.9994,32.6038,江苏
中国长江三峡集团公司江苏响水近海风电场,202,海上固定式,120.0518,34.503,江苏
